requirement,stage,task,test,acceptance,evidence
REQ-001,STAGE-1-BASELINE,TASK-001,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-1-BASELINE/evidence/TASK-001.json,null
REQ-002,STAGE-1-BASELINE,TASK-002,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-1-BASELINE/evidence/TASK-002.json,null
REQ-003,STAGE-1-BASELINE,TASK-003,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-1-BASELINE/evidence/TASK-003.json,null
REQ-004,STAGE-1-BASELINE,TASK-004,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-1-BASELINE/evidence/TASK-004.json,null
REQ-005,STAGE-2-FOUNDATION,TASK-005,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-2-FOUNDATION/evidence/TASK-005.json,null
REQ-006,STAGE-2-FOUNDATION,TASK-006,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-2-FOUNDATION/evidence/TASK-006.json,null
REQ-007,STAGE-2-FOUNDATION,TASK-007,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-2-FOUNDATION/evidence/TASK-007.json,null
REQ-008,STAGE-2-FOUNDATION,TASK-008,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-2-FOUNDATION/evidence/TASK-008.json,null
REQ-009,STAGE-3-CORE,TASK-009,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-3-CORE/evidence/TASK-009.json,null
REQ-010,STAGE-3-CORE,TASK-010,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-3-CORE/evidence/TASK-010.json,null
REQ-011,STAGE-3-CORE,TASK-011,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-3-CORE/evidence/TASK-011.json,null
REQ-012,STAGE-3-CORE,TASK-012,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-3-CORE/evidence/TASK-012.json,null
REQ-013,STAGE-4-QUALITY,TASK-013,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-4-QUALITY/evidence/TASK-013.json,null
REQ-014,STAGE-4-QUALITY,TASK-014,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-4-QUALITY/evidence/TASK-014.json,null
REQ-015,STAGE-4-QUALITY,TASK-015,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-4-QUALITY/evidence/TASK-015.json,null
REQ-016,STAGE-4-QUALITY,TASK-016,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-4-QUALITY/evidence/TASK-016.json,null
REQ-017,STAGE-5-RELEASE,TASK-017,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-5-RELEASE/evidence/TASK-017.json,null
REQ-018,STAGE-5-RELEASE,TASK-018,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-5-RELEASE/evidence/TASK-018.json,null
REQ-019,STAGE-5-RELEASE,TASK-019,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-5-RELEASE/evidence/TASK-019.json,null
REQ-020,STAGE-5-RELEASE,TASK-020,TEST-UNKNOWN,.world-top10-planning/20260909-073119/STAGE-5-RELEASE/evidence/TASK-020.json,null
